"Date","Price","Open","High","Low","Change %"
"Feb 21, 2021","1,591.685","1,591.050","1,591.685","1,591.050","0.08%"
"Feb 14, 2021","1,590.466","1,589.591","1,590.466","1,589.591","0.11%"
"Feb 07, 2021","1,588.708","1,588.059","1,588.708","1,588.059","0.08%"
"Jan 31, 2021","1,587.412","1,586.533","1,587.412","1,586.533","0.09%"
"Jan 24, 2021","1,585.951","1,585.110","1,585.951","1,585.110","0.10%"
"Jan 17, 2021","1,584.442","1,583.559","1,584.442","1,583.559","0.10%"
"Jan 10, 2021","1,582.884","1,581.979","1,582.884","1,581.979","0.10%"
"Jan 03, 2021","1,581.283","1,580.344","1,581.283","1,580.344","0.13%"
"Dec 27, 2020","1,579.241","1,578.776","1,579.241","1,578.776","0.10%"
"Dec 20, 2020","1,577.625","1,577.173","1,577.625","1,577.173","0.07%"
"Dec 13, 2020","1,576.508","1,575.611","1,576.508","1,575.611","0.10%"
"Dec 06, 2020","1,574.929","1,574.006","1,574.929","1,574.006","0.10%"
"Nov 29, 2020","1,573.310","1,572.347","1,573.310","1,572.347","0.11%"
"Nov 22, 2020","1,571.652","1,570.754","1,571.652","1,570.754","0.10%"
"Nov 15, 2020","1,570.054","1,569.149","1,570.054","1,569.149","0.12%"
"Nov 08, 2020","1,568.220","1,567.536","1,570.314","1,567.536","0.09%"
"Nov 01, 2020","1,566.836","1,565.911","1,566.836","1,565.911","0.34%"
"Oct 18, 2020","1,561.511","1,561.041","1,561.511","1,561.041","0.08%"
"Oct 11, 2020","1,560.334","1,560.334","1,560.334","1,560.334","0.02%"
"Oct 04, 2020","1,560.100","1,558.669","1,560.100","1,558.669","0.11%"
"Sep 27, 2020","1,558.435","1,557.054","1,558.435","1,557.054","0.10%"
"Sep 20, 2020","1,556.819","1,555.246","1,556.819","1,555.246","0.14%"
"Sep 13, 2020","1,554.567","1,554.567","1,554.567","1,554.567","0.06%"
"Sep 06, 2020","1,553.629","1,552.001","1,553.629","1,552.001","0.13%"
"Aug 30, 2020","1,551.555","1,550.625","1,551.555","1,550.625","0.11%"
"Aug 23, 2020","1,549.925","1,549.691","1,549.925","1,549.691","0.11%"
"Aug 16, 2020","1,548.297","1,547.359","1,548.297","1,547.359","0.08%"
"Aug 09, 2020","1,547.125","1,545.682","1,547.125","1,545.682","0.11%"
"Aug 02, 2020","1,545.450","1,544.052","1,545.450","1,544.052","0.11%"
"Jul 26, 2020","1,543.818","1,543.351","1,543.818","1,543.351","0.09%"
"Jul 19, 2020","1,542.424","1,541.036","1,542.424","1,541.036","0.11%"
"Jul 12, 2020","1,540.804","1,539.466","1,540.804","1,539.466","0.10%"
"Jul 05, 2020","1,539.235","1,537.799","1,539.235","1,537.799","0.11%"
"Jun 28, 2020","1,537.567","1,536.455","1,537.567","1,536.455","0.08%"
"Jun 21, 2020","1,536.291","1,535.215","1,536.291","1,535.215","0.08%"
