"Date","Price","Open","High","Low","Change %"
"Jul 25, 2021","1,571.600","1,566.080","1,571.600","1,565.420","0.34%"
"Jul 18, 2021","1,566.340","1,564.910","1,567.590","1,564.910","0.25%"
"Jul 11, 2021","1,562.390","1,544.260","1,562.390","1,544.260","1.25%"
"Jul 04, 2021","1,543.080","1,540.030","1,546.900","1,540.030","0.31%"
"Jun 27, 2021","1,538.370","1,580.830","1,580.830","1,538.370","-2.73%"
"Jun 20, 2021","1,581.620","1,577.290","1,581.620","1,576.050","-0.13%"
"Jun 13, 2021","1,583.690","1,604.060","1,604.060","1,583.690","-1.40%"
"Jun 06, 2021","1,606.140","1,590.870","1,606.140","1,590.870","1.20%"
"May 30, 2021","1,587.170","1,579.890","1,589.350","1,579.890","0.66%"
"May 23, 2021","1,576.750","1,576.160","1,576.750","1,575.940","0.25%"
"May 16, 2021","1,572.800","1,572.570","1,572.800","1,569.100","-0.08%"
"May 09, 2021","1,573.990","1,576.020","1,576.020","1,573.990","0.07%"
"May 02, 2021","1,572.840","1,564.390","1,572.840","1,564.390","0.53%"
"Apr 25, 2021","1,564.520","1,568.080","1,568.080","1,559.930","-0.28%"
"Apr 18, 2021","1,568.990","1,562.200","1,568.990","1,562.200","1.07%"
"Apr 11, 2021","1,552.400","1,563.140","1,563.140","1,552.400","-0.91%"
"Apr 04, 2021","1,566.610","1,542.840","1,566.610","1,542.840","1.94%"
"Mar 28, 2021","1,536.770","1,534.040","1,536.770","1,527.540","0.03%"
"Mar 21, 2021","1,536.370","1,521.520","1,536.730","1,521.520","1.14%"
"Mar 14, 2021","1,519.040","1,514.760","1,523.530","1,514.760","0.00%"
"Mar 07, 2021","1,519.030","1,512.900","1,519.030","1,507.150","-0.70%"
"Feb 28, 2021","1,529.740","1,537.090","1,542.560","1,529.740","-0.18%"
"Feb 21, 2021","1,532.470","1,545.340","1,559.070","1,532.470","-1.50%"
"Feb 14, 2021","1,555.870","1,593.160","1,593.160","1,555.870","-2.44%"
"Feb 07, 2021","1,594.810","1,596.010","1,596.010","1,592.150","-0.23%"
"Jan 31, 2021","1,598.440","1,595.160","1,602.270","1,595.160","0.76%"
"Jan 24, 2021","1,586.410","1,578.900","1,586.410","1,578.900","0.41%"
"Jan 17, 2021","1,579.870","1,589.090","1,589.090","1,578.900","-0.60%"
"Jan 10, 2021","1,589.420","1,593.370","1,593.370","1,589.160","-0.75%"
"Jan 03, 2021","1,601.400","1,632.880","1,632.880","1,601.400","-4.12%"
"Dec 27, 2020","1,670.170","1,672.910","1,676.710","1,670.170","0.43%"
"Dec 20, 2020","1,663.100","1,661.830","1,663.100","1,656.860","-0.72%"
"Dec 13, 2020","1,675.210","1,644.970","1,676.450","1,644.970","2.13%"
"Dec 06, 2020","1,640.230","1,631.740","1,640.230","1,631.150","0.75%"
"Nov 29, 2020","1,628.050","1,621.640","1,628.050","1,621.640","0.45%"
"Nov 22, 2020","1,620.730","1,612.110","1,622.710","1,612.110","0.62%"
"Nov 15, 2020","1,610.680","1,601.640","1,612.540","1,601.640","1.05%"
"Nov 08, 2020","1,593.930","1,602.090","1,602.090","1,589.240","0.40%"
